id,timestamp,latitude,longitude,type,description,reporter_name,latitude_original,longitude_original,street_name_raw,street_name_normalized,location_status,location_precision,geocode_source,coordinate_adjustment_m,location_review_reason,is_mappable
1,2026-07-15 22:30:00,-6.9219347,107.5746515,Begal,"Hati-hati guys! Tadi malem ada begal di Jl. Soekarno Hatta deket flyover Kopo. Motor temen gue dirampas, pelaku bawa celurit. Stay safe Bandung! #bandung #begal",social_media_instagram,-6.9346,107.6329,soekarno hatta,Jl. Soekarno Hatta,street_reference,road_reference,osm_nominatim_reference,6582.1,"Koordinat merepresentasikan ruas jalan, bukan titik kejadian presisi.",True
2,2026-07-14 01:15:00,-6.9219,107.61,Geng Motor,"Baru aja liat geng motor sweeping di Jl. Asia Afrika jam 1 malem. Serem banget, mereka bawa senjata tajam dan naik sekitar 20 motor. Warga pada takut keluar rumah.",social_media_x,-6.9219,107.61,asia afrika,Jl. Asia Afrika,street_verified,street,legacy_osm_audit,0.0,Koordinat lama telah cocok dengan ruas jalan pada audit OSM.,True
3,2026-07-13 23:45:00,-6.9003834,107.597989,Begal,INFO PENTING! Kakak saya jadi korban begal di Jl. Pasteur depan RS Hasan Sadikin. Motornya diambil paksa sama 3 orang. Udah lapor polisi. Tolong bantu share!,social_media_instagram,-6.8936,107.5945,pasteur,Jl. Pasteur,street_reference,road_reference,osm_nominatim_reference,846.9,"Koordinat merepresentasikan ruas jalan, bukan titik kejadian presisi.",True
4,2026-07-12 02:30:00,-6.931,107.712,Geng Motor,Geng motor konvoi lagi di Jl. Cibiru arah Cileunyi. Mereka rusak kaca spion mobil yang parkir di pinggir jalan. Polisi mana?? @ridaborBDG,social_media_x,-6.931,107.712,cibiru,Jl. Cibiru,area_only,area,street_reference,,Cibiru adalah area; laporan harus menyebut ruas jalan atau koordinat manual.,False
5,2026-07-11 23:00:00,-6.885,107.614,Begal,"Waspada! Ada pelaku begal yang nyamar jadi ojol di Jl. Dago. Korbannya mahasiswa, HP dan dompet diambil. Kejadiannya sekitar jam 11 malem.",social_media_instagram,-6.885,107.614,dago,Jl. Dago,street_verified,street,legacy_osm_audit,0.0,Koordinat lama telah cocok dengan ruas jalan pada audit OSM.,True
6,2026-07-10 00:45:00,-6.932533,107.6443319,Geng Motor,Lagi-lagi geng motor bikin onar di Jl. Gatot Subroto Bandung. Warga yang lewat kena lemparan batu. Ini udah yang ke-3 kali bulan ini!,social_media_x,-6.92,107.634,gatot subroto,Jl. Gatot Subroto,street_reference,road_reference,osm_nominatim_reference,1800.8,"Koordinat merepresentasikan ruas jalan, bukan titik kejadian presisi.",True
7,2026-07-09 21:30:00,-6.9018548,107.5637941,Begal,Semalam ada percobaan begal di Jl. Amir Machmud Cimahi. Untung korban bisa kabur karena ada warga yang teriak. Hati-hati yang sering lewat situ malem-malem.,social_media_instagram,-6.884,107.542,amir machmud,Jl. Amir Machmud,street_reference,road_reference,osm_nominatim_reference,3119.3,"Koordinat merepresentasikan ruas jalan, bukan titik kejadian presisi.",True
8,2026-07-08 01:00:00,-6.9219347,107.5746515,Geng Motor,"Thread Kronologi geng motor serang warga di Jl. Soekarno Hatta dekat Batununggal. Mereka datang dari arah Buah Batu, bawa golok dan rantai.",social_media_x,-6.9346,107.6329,soekarno hatta,Jl. Soekarno Hatta,street_reference,road_reference,osm_nominatim_reference,6582.1,"Koordinat merepresentasikan ruas jalan, bukan titik kejadian presisi.",True
9,2026-07-07 03:15:00,-6.8924893,107.5847536,Begal,Begal motor terjadi lagi di Jl. Terusan Pasteur dini hari tadi. 2 pelaku menggunakan motor tanpa plat dan membawa sajam. Korban luka di tangan. #WaspadaBegal,social_media_instagram,-6.8936,107.5945,terusan pasteur,Jl. Terusan Pasteur,street_reference,road_reference,osm_nominatim_reference,1083.0,"Koordinat merepresentasikan ruas jalan, bukan titik kejadian presisi.",True
10,2026-07-06 23:50:00,-6.9162422,107.5881426,Geng Motor,Ngeriii! Konvoi geng motor di Jl. Rajawali Bandung malam tadi. Mereka hajar pengendara yang gak mau minggir. Ada yang kena pukul pake tongkat bisbol.,social_media_x,-6.914,107.602,rajawali,Jl. Rajawali,street_reference,road_reference,osm_nominatim_reference,1549.8,"Koordinat merepresentasikan ruas jalan, bukan titik kejadian presisi.",True
